pierwsza_stacja,druga_stacja,corr
GŁOGÓW(151160060),RACIBÓRZ-MIEDONIA(150180060),"[0.4477979441419472, 0.4627118001570989, 0.48048947925102004, 0.5006032489339387, 0.5221524776267976, 0.5483559541540624, 0.5807553082982748, 0.6169678485264193, 0.6600727963489632, 0.7126270111251106, 0.7725484959633812, 0.8243051625731168, 0.8388278196998766, 0.8140789158713443, 0.7811748860512194, 0.7485841934449181, 0.7186079832549859, 0.6909001007281638, 0.6662310613137267]"
GŁOGÓW,BARDO ŚLĄSKIE (250160410) Suma opadów [mm],"[-0.05978029885152728, -0.05627674806943194, -0.05468629361873001, -0.05235228513188332, -0.058955343580836594, -0.06655153081843132, -0.06496365519678161, -0.07477880813144991, -0.08370464497214478, -0.08084611952183536, -0.07256683192560837, -0.03969222405073448, 0.009102718823417115, 0.06367249300738753, 0.07067860252298372, 0.06152151948097864, 0.04751503950970464, 0.03343821647755684, 0.020599089821087813]"
GŁOGÓW,BIERUTÓW (251170270) Suma opadów [mm],"[-0.09989040829501232, -0.09905772719854518, -0.1068279272862876, -0.10795676381767874, -0.11482770567112714, -0.11649742136282061, -0.11927233501589268, -0.12618627370778168, -0.1334848957308088, -0.1307130114232748, -0.12050423098356955, -0.07430553954059035, -0.023843069410833553, 0.030790580406580424, 0.03902895150918842, 0.029285599783352528, 0.013133435814954792, -0.008234791003490618, -0.01999977004647528]"
GŁOGÓW,BOLESŁAWÓW (250160610) Suma opadów [mm],"[-0.08606719194881218, -0.08423411669091109, -0.0856258212132328, -0.08562548576217571, -0.09180528993563322, -0.09518330781748058, -0.09606204330336197, -0.09946234889001883, -0.10479893298853536, -0.09938390406491782, -0.0846989394045185, -0.04865027903840353, 0.008997723175777862, 0.07670811578286506, 0.0867113646466137, 0.07546361938021531, 0.05832228708938343, 0.04007242822637032, 0.026906523401149747]"
GŁOGÓW,BOLKÓW (250160030) Suma opadów [mm],"[-0.037576511706022844, -0.03786443954830452, -0.040629020000899026, -0.047166304162814345, -0.056429133931571195, -0.06534811710509018, -0.0680188120302747, -0.07649897826073891, -0.08257417873920896, -0.07704380308091181, -0.06510708477653333, -0.016732195943300415, 0.04177041481235101, 0.08812452836216274, 0.09715127237589713, 0.09119979537743193, 0.07693951177194076, 0.06386481182169086, 0.05365418571530168]"
GŁOGÓW,BORÓW (250160070) Suma opadów [mm],"[-0.03857695790939106, -0.03297009782326137, -0.035546756205554995, -0.030155966361742666, -0.03430401414778314, -0.037538651203375066, -0.034718224730423686, -0.045360015134036015, -0.05693098961041572, -0.06521911678962654, -0.0491730821737139, -0.011408218539922674, 0.03345264445069604, 0.08201407739744794, 0.09605443869176837, 0.08794324486834829, 0.07422242599677559, 0.06132557967030984, 0.04790004408050072]"
GŁOGÓW,BRZEG (250170050) Suma opadów [mm],"[-0.026855016173010837, -0.013415064240977478, -0.009859420981753731, -0.0026298352171005225, -0.01129177858087029, -0.02422550998918384, -0.023398889501596527, -0.024702954846446187, -0.039255976732508, -0.03864108194903795, -0.020002044844491588, 0.03105074976630618, 0.09625314813678121, 0.15711999822692013, 0.16189923083906674, 0.14832546768339946, 0.13371042934481647, 0.12127880597765398, 0.10887693768530539]"
GŁOGÓW,BRZEG DOLNY (251160230) Suma opadów [mm],"[0.020335668251178763, 0.02162678159295294, 0.015098904007008094, 0.0076858569692450675, -0.005255697586262678, -0.015608713355054217, -0.020657999490297705, -0.037093828037273874, -0.05685672851397568, -0.0547519142280353, -0.03109650389523059, 0.019292435905421186, 0.07924469045394865, 0.12470616219878164, 0.1372353261022681, 0.13588407039015463, 0.12116324758030518, 0.10907008762869977, 0.09812888715707772]"
GŁOGÓW,CHWAŁKOWICE (251160170) Suma opadów [mm],"[-0.06791254046375653, -0.07027304379152917, -0.07289037123297354, -0.07436292769390032, -0.08373012105164737, -0.0928952277014096, -0.09147028928967033, -0.09968460698288653, -0.10425747697135758, -0.10187879416337131, -0.08706853492729533, -0.04635633200785692, 0.002531257325434284, 0.04689517806257814, 0.06350996624414366, 0.06023220195532859, 0.044327682722183674, 0.02994641644497969, 0.018438632370465]"
GŁOGÓW,CIESZYN (249180130) Suma opadów [mm],"[-0.09695235869956027, -0.09799952964464714, -0.09788013939377947, -0.09216285319279428, -0.08909584349597585, -0.09222634151228037, -0.09589618574593667, -0.09123177776121844, -0.0961555596018966, -0.0914933741656394, -0.08172425069033333, -0.04203319072974597, 0.032357099565141705, 0.12157813040537369, 0.13016188259329006, 0.11567855398470146, 0.09457340624752857, 0.0715294498356906, 0.051456869730823133]"
GŁOGÓW,CIESZYN (249180550) Suma opadów [mm],"[-0.022550911900316772, -0.009934744015251573, -0.01541785924378015, -0.02401330100116281, -0.0246168802821329, -0.023281002450161865, -0.02710541560234269, -0.015829563937123627, -0.006760783901660257, -0.013391205427615894, 0.0015731940356985298, 0.03887265656731081, 0.11759585617878762, 0.19300015267374024, 0.17639184490719792, 0.1513263542418806, 0.1386540400806687, 0.1281599714059403, 0.1216377013956722]"
GŁOGÓW,DŁUGOPOLE-ZDRÓJ (250160590) Suma opadów [mm],"[-0.07376203151646092, -0.06936715342622944, -0.07229774104744054, -0.07493003130496895, -0.07785982114558776, -0.08094762722846062, -0.08036869230650337, -0.08288385348218182, -0.0856854213333992, -0.08784428275806445, -0.07695300527225364, -0.042720197126617836, 0.009452575127765523, 0.06665619474530537, 0.08146374369131101, 0.07465112386959359, 0.0585563707353388, 0.04246660311687885, 0.031675079384550615]"
GŁOGÓW,DOBROGOSZCZ (250170110) Suma opadów [mm],"[-0.05329434456615428, -0.051667350142920516, -0.04717141236042987, -0.04130289481349559, -0.05104117862479445, -0.06091136410731124, -0.05880998572807501, -0.06968611962887385, -0.08535940967430425, -0.08847300771449558, -0.07190721477251491, -0.0392522170594305, 0.023162313542483284, 0.08690764083350142, 0.1011971603661933, 0.09157905915752755, 0.07698673797028423, 0.06224900640416428, 0.04113272512226361]"
GŁOGÓW,DZIERŻONIÓW (250160260) Suma opadów [mm],"[-0.018827369443593433, -0.015292139741487885, -0.01549964801998589, -0.01437969284418011, -0.022566722993172642, -0.02916490922622168, -0.03342036363384386, -0.046424648963914406, -0.061825515860150164, -0.0673822096059167, -0.05463157912573032, -0.01640255686074389, 0.03890501258100613, 0.08945824488847971, 0.0959910851637969, 0.09013541947775462, 0.08004280788343841, 0.06192817391871188, 0.046315003252447536]"
GŁOGÓW,DZIEWIĘTLICE (250170290) Suma opadów [mm],"[-0.04548914445187346, -0.037375629079417785, -0.03945005298246318, -0.03599880775767582, -0.03778038071719847, -0.0399735237528869, -0.04456521888251496, -0.0567706806388155, -0.07461628613898671, -0.07229783482193014, -0.05573374832949059, -0.017811392272036142, 0.04090752085516627, 0.10857668890827678, 0.11845820776661851, 0.11261498700792978, 0.09231072347445562, 0.07516447598016454, 0.05979776612975915]"
GŁOGÓW,GŁOGÓW (251160080) Suma opadów [mm],"[-0.020931940067493778, -0.022740909047021605, -0.0068381040615199, -0.004092893558839693, -0.011474137611298481, -0.02421252152208688, -0.030631429455731895, -0.03955834241194227, -0.04549128142579767, -0.03681672913930267, -0.024113816999763473, 0.008916696010443053, 0.05602874696073527, 0.08613885783069397, 0.08903831337425783, 0.07846266111708187, 0.056437018750561264, 0.040967637360086344, 0.01723124405553925]"
GŁOGÓW,GŁUBCZYCE (250170390) Suma opadów [mm],"[-0.06823951796573939, -0.06731270375413398, -0.06564253737311035, -0.06040173306339063, -0.0579463103418708, -0.06592361189294312, -0.07488386363726697, -0.08032335814462724, -0.08462570169728802, -0.08460260001877408, -0.06986217746005362, -0.02837639893651052, 0.04464997520776128, 0.12167211790718765, 0.13173175686939992, 0.12431106872528952, 0.10498686973701529, 0.08742291529298704, 0.0723885289559213]"
GŁOGÓW,GŁUCHOŁAZY (250170330) Suma opadów [mm],"[-0.02246443661733852, -0.013807203637181251, -0.012579072741806314, -0.010390110824678781, -0.014736085173787323, -0.021461824879071383, -0.024474078771754722, -0.03517944813619662, -0.049202173033091365, -0.049779797624271455, -0.0339722426549714, 0.009809535149133934, 0.08382288160294317, 0.16051578130033936, 0.1698349921746269, 0.15826115015207923, 0.1410938089274717, 0.12613701690560147, 0.1136357898169898]"
GŁOGÓW,GOŚCIEJOWICE (250170760) Suma opadów [mm],"[-0.1044643670134093, -0.08443699559880584, -0.08290515804671805, -0.07484120377959594, -0.08102852450703502, -0.09111624379358385, -0.09762868790386273, -0.11667169471517393, -0.13412809955102034, -0.13210062516166898, -0.11397469759511288, -0.05001321823555835, 0.03805404257895469, 0.11522112539409864, 0.12476709307237303, 0.11759555351580045, 0.10174919746625528, 0.09754010403971558, 0.09400553835619531]"
GŁOGÓW,GRABOWNICA (251170150) Suma opadów [mm],"[-0.059759827639148014, -0.0529922384348454, -0.05675622439806362, -0.06059281206307066, -0.06693205062136849, -0.0726734870330361, -0.0740106692564269, -0.08227998249648218, -0.09140732868739836, -0.09321406997387005, -0.08018839270693791, -0.03597912777387172, 0.018564483674757645, 0.07252277753314924, 0.08459857918184754, 0.07825897065659145, 0.06605897068257145, 0.04701146261122402, 0.03678351642576506]"
GŁOGÓW,ISTEBNA-STECÓWKA (249180280) Suma opadów [mm],"[-0.1022819544739814, -0.10334082055876188, -0.10909373595789529, -0.11331559158231819, -0.11167875973350742, -0.1138011278297252, -0.11395462302474384, -0.1130264911177364, -0.11109765572102236, -0.10081592896358159, -0.09049270801744955, -0.05280012100922472, 0.02077288906020906, 0.10121910276953162, 0.10675669997749916, 0.08745484370501753, 0.06960419413135902, 0.05567766696594886, 0.04724774629337355]"
GŁOGÓW,ISTEBNA-WIEŚ (249180290) Suma opadów [mm],"[-0.13413491568925123, -0.13534859173368372, -0.13737702273730368, -0.13655272059642956, -0.12810238043549857, -0.12919668813382448, -0.13269569079496296, -0.13250644631023892, -0.1366185411133719, -0.12865194690998172, -0.12409734720450472, -0.09310970629534276, -0.02717040814121052, 0.05693409850903974, 0.06899830913362914, 0.05388487704765416, 0.02994875991806705, 0.01139540338362627, 0.002087107189134588]"
GŁOGÓW,JARNOŁTÓWEK (250170340) Suma opadów [mm],"[-0.024183787277175097, -0.016058066177357586, -0.015950847423902178, -0.015489505623866773, -0.02155452661834148, -0.029370174540811905, -0.0319557138210277, -0.04117301442054635, -0.05359843197765578, -0.050138765312629924, -0.03544117949334241, 0.010372543839353852, 0.08837226218011485, 0.1645639879437998, 0.1647028426955322, 0.1505958148751087, 0.1319871907904048, 0.11757967518734826, 0.10500993173788563]"
GŁOGÓW,JAWOR (251160290) Suma opadów [mm],"[-0.037149354144968325, -0.039755785279098316, -0.04187577763197993, -0.04199489958547492, -0.046556753150046114, -0.05304019340776086, -0.049130209628945605, -0.05931927197558815, -0.06916724436520477, -0.06511923636576249, -0.05105649326055026, -0.004515561557352872, 0.052211138398796195, 0.09656128007540435, 0.10355131303802115, 0.0985000521006142, 0.08216589345432936, 0.06478298002276049, 0.054222816048197016]"
GŁOGÓW,JEDLINA-ZDRÓJ (250160220) Suma opadów [mm],"[-0.04794737327425627, -0.04098711925384566, -0.042251501029782604, -0.0440533829079518, -0.05452242056110711, -0.056767676493666215, -0.055733713196747706, -0.06929900855919054, -0.07967424140266571, -0.08003094680897628, -0.0654536003584609, -0.026645584230652695, 0.026750303687787788, 0.07410210048524034, 0.08470390980727542, 0.08041982300561161, 0.07426809991695225, 0.06042063305090799, 0.04835832787672648]"
GŁOGÓW,JELCZ-LASKOWICE (251170320) Suma opadów [mm],"[-0.08842510252171394, -0.08469121806753589, -0.08882952660879237, -0.09008930644069792, -0.09573080575376457, -0.09554685647471958, -0.09236861194607435, -0.09865269746091049, -0.10747754887366759, -0.10918698585677261, -0.09513683757632273, -0.05358266257076531, 0.0011569869364638063, 0.05776660890486634, 0.07273548321158738, 0.0653980338270136, 0.05276141658332873, 0.0357523580658006, 0.02378772057536678]"
GŁOGÓW,KACZORÓW (250150110) Suma opadów [mm],"[-0.04372945630678537, -0.04576578010414114, -0.0496049263961553, -0.05209847180036446, -0.05884072267729632, -0.06832026037654557, -0.07114840535752641, -0.07800308734889637, -0.08276655002870455, -0.07871847097649348, -0.06548390824475372, -0.016824035223311346, 0.036896320409568716, 0.08298176962895917, 0.09557537402178655, 0.08987629560523548, 0.07677732559260761, 0.06436897867049111, 0.05770455232123684]"
GŁOGÓW,KAMIENICA (250160620) Suma opadów [mm],"[-0.07161180666568906, -0.06810035531109135, -0.06889876506957905, -0.06903927322525365, -0.0757408724390272, -0.08157824944261147, -0.08351748603064413, -0.08688618650329578, -0.09126630373312845, -0.08748946558856206, -0.0738716128383058, -0.036000665762039905, 0.025479931495472497, 0.09389662967267898, 0.10349318058863934, 0.09472618485304483, 0.07714057015925767, 0.05952506659306026, 0.0513986032368879]"
GŁOGÓW,KĄTY WROCŁAWSKIE (251160310) Suma opadów [mm],"[0.02251917642759738, 0.03191015582255403, 0.02434929257988721, 0.02744914749311838, 0.020000175382703853, 0.009486599001023615, 0.00643566891270117, -0.00479700169568628, -0.01965388380994625, -0.0211984294206404, -0.005184023599586666, 0.04431972163433815, 0.09989526291501861, 0.14328894752879343, 0.1560372783621779, 0.1529127178722311, 0.1391662876886509, 0.12394346273959043, 0.10956431228580576]"
GŁOGÓW,KŁODZKO (350160520) Suma opadów [mm],"[-0.03598137859687493, -0.031897031934618694, -0.03108342508038816, -0.027892872847007807, -0.03147927312480495, -0.032884225959646046, -0.02940575901818719, -0.03287517418929461, -0.03606509146258787, -0.03453763792200388, -0.025651474617984487, 0.0007655899743959233, 0.04323232964731573, 0.09435310169451888, 0.10857233537586805, 0.10209219004375457, 0.09107199327363445, 0.07858426657554712, 0.06448167613571752]"
GŁOGÓW,KOPICE (250170730) Suma opadów [mm],"[-0.02584540372900511, -0.015148398315114008, -0.01192666492656538, -0.014719965765400522, -0.02142941680617455, -0.021683161468108003, -0.03027660216278461, -0.044076185863069745, -0.054625862207232506, -0.056824392295747476, -0.05311265453743829, -0.001114828335765904, 0.06836211968026189, 0.1279868639865438, 0.1345951088678503, 0.13156398159785998, 0.12111950709231285, 0.11510660525656231, 0.11603643357873267]"
GŁOGÓW,KORFANTÓW II (250170750) Suma opadów [mm],"[-0.07450245006897954, -0.06041733720653213, -0.06774541235557946, -0.0617274468044126, -0.06642581362519702, -0.06236376806386727, -0.07290822663660175, -0.0851535154788215, -0.10122350963936998, -0.10505633646079537, -0.08724072285441119, -0.035829831917295545, 0.03276018148782799, 0.09917506684879783, 0.1104888241173102, 0.11087735622696923, 0.10581840602431242, 0.09979002470851246, 0.10179975500788828]"
GŁOGÓW,KRUPSKI MŁYN (250180190) Suma opadów [mm],"[-0.028035683379493637, -0.031111255521233585, -0.027979090311188802, -0.02775826230459405, -0.028361830718562707, -0.04174125104666086, -0.047586719563217465, -0.05157541981143984, -0.0463860590653719, -0.041589686605956674, -0.028395839633443658, 0.008158680118805335, 0.07019423703440318, 0.1445694764859628, 0.14951498893484383, 0.1387622642727306, 0.11999312990939444, 0.10609077450064655, 0.09114376674851302]"
GŁOGÓW,KUDOWA-ZDRÓJ (250160450) Suma opadów [mm],"[-0.059305952597869964, -0.05860118747215983, -0.05851075197625868, -0.05354819076847954, -0.055297238252262314, -0.05904750131104491, -0.05833554908587559, -0.06109958326355786, -0.06325871300376906, -0.06045438984481375, -0.05171898333490587, -0.028110552034143334, 0.011336652080641735, 0.05407900522082373, 0.06421278912560371, 0.05923434278136079, 0.04864222642349802, 0.03266165440818427, 0.02236071240533385]"
GŁOGÓW,LĄDEK-ZDRÓJ (250160520) Suma opadów [mm],"[-0.07222347638680335, -0.0662377762774887, -0.06621059158517577, -0.06744114837375313, -0.07519532315207217, -0.08133792224832397, -0.08055661247132281, -0.08670651515762755, -0.09598897516423799, -0.08833852180723453, -0.06810559698761787, -0.028683647060580734, 0.03323102799005443, 0.10076632374244095, 0.11139763586665334, 0.10542575130185161, 0.09152442762416381, 0.07730252331283202, 0.06580075437510394]"
GŁOGÓW,LEGNICA (351160415) Suma opadów [mm],"[-0.02460971604283663, -0.023470809201111466, -0.022520450979545345, -0.01935936640665669, -0.02497961576226157, -0.028063741019007916, -0.02495209205486082, -0.0291064515145402, -0.03432622682543278, -0.032681046564661934, -0.020335364672297965, 0.0178306478635988, 0.06863483258903522, 0.10748241880713319, 0.11765374956481732, 0.11245773852368907, 0.0998286041466992, 0.08774216618745169, 0.07721835942288467]"
GŁOGÓW,LESZNO (351160418) Suma opadów [mm],"[-0.04909598590840032, -0.05065879324555136, -0.05161416892554429, -0.05605986579028958, -0.06303508045702327, -0.06544409444929308, -0.06424031641875534, -0.06648209639335648, -0.06878648900548469, -0.06922415880811214, -0.05993810073072234, -0.029037848922110154, 0.0038140607524936457, 0.03746979372747253, 0.056957423267463, 0.05658620161837512, 0.044724562932002034, 0.03676952505194758, 0.024799529332516047]"
GŁOGÓW,LEWIN KŁODZKI (250160470) Suma opadów [mm],"[-0.04962585322380401, -0.044610300609896146, -0.04012171700029063, -0.029980486895063215, -0.03826612635679745, -0.047245253470477803, -0.05267845038283549, -0.053593664590106505, -0.05525082308372779, -0.06098175047968153, -0.05428971647374262, -0.024329632412082008, 0.028392532035411085, 0.07489277897471952, 0.08189796821450455, 0.07933392313058925, 0.07386027041736294, 0.06413283618763949, 0.05752574101861327]"
GŁOGÓW,LIGOTA GÓRNA (250180230) Suma opadów [mm],"[-0.009121878785118795, -0.007787654011658046, -0.0037046445369669743, 0.004274494923292509, 0.011165340553889878, 0.011733279105440985, 0.0016477643788707604, 0.005383733743136183, 0.0034432438506574923, 0.010704927176726102, 0.03163621673158343, 0.0672375683238264, 0.13235159523862605, 0.20291082304007965, 0.20744973901256789, 0.19309700529187657, 0.17252848753036512, 0.15520197650125134, 0.1427533458189392]"
GŁOGÓW,LUBACHÓW (250160170) Suma opadów [mm],"[-0.03794933004105204, -0.03434799355862907, -0.03719763756868906, -0.037977240851119254, -0.05013327365086508, -0.053985831412002964, -0.05466373660559676, -0.06486261605723556, -0.07370423569321329, -0.0709829754799596, -0.05436252617064952, -0.016722246615548886, 0.04059527116502185, 0.09063445719120551, 0.09881587706148039, 0.09442626316909383, 0.08183845116170266, 0.06307806430816809, 0.04897985740166777]"
GŁOGÓW,LUBIN (251160190) Suma opadów [mm],"[-0.055801339950948374, -0.042818626859042815, -0.04178970091302257, -0.04086564586980118, -0.056033717592572904, -0.07007613569178159, -0.07805105477640256, -0.08977359985149978, -0.10508406609218075, -0.1071191772640308, -0.09060939621676681, -0.05214682672526513, -0.0005104065934012664, 0.03922226621451545, 0.06292608431248976, 0.05946267713703209, 0.040897948039506284, 0.02526368833632859, 0.011640088054825078]"
GŁOGÓW,LUBOMIN (250160120) Suma opadów [mm],"[-0.056799426000283586, -0.048726759439514024, -0.050884781150904335, -0.052566402231545906, -0.061831560117545765, -0.06866797926190898, -0.06903426607612329, -0.0809415742234421, -0.08824086176906704, -0.08328053152993373, -0.06961520311689438, -0.025878765802929613, 0.036364407326928964, 0.08775600553418864, 0.09937166241725881, 0.09736419556172426, 0.08368615449957781, 0.06329052307827802, 0.04972791926073081]"
GŁOGÓW,ŁABĘDY (250180330) Suma opadów [mm],"[-0.06551706918907294, -0.06299961808149823, -0.059593740194569256, -0.05143948164670856, -0.05327090695700566, -0.05812438311431949, -0.06791377304780118, -0.08299234871959896, -0.08589227685400364, -0.09491281805967691, -0.08486519617794756, -0.05659088304880022, 0.013560891494197475, 0.10167834039044246, 0.10943549163946244, 0.09077233430420993, 0.060907589262208475, 0.04218869114756997, 0.018913566620229597]"
GŁOGÓW,ŁANY (251170420) Suma opadów [mm],"[-0.0656233446037458, -0.05834803946611618, -0.07013873674625536, -0.07581431633737529, -0.08522038520865419, -0.07648188743839983, -0.08263102835979735, -0.08792042080793944, -0.09933449796921766, -0.11294037815892956, -0.10033380464016889, -0.04555977680653929, 0.004093358810446439, 0.04459037565106775, 0.05091095617206975, 0.05739227670426836, 0.05626040719584826, 0.05353865761737855, 0.059451682559647896]"
